year,quarter,lad_code,hpi
2018,Q1,E06000001,77.61666666666666
2018,Q1,E06000002,76.64166666666667
2018,Q1,E06000003,76.50833333333334
2018,Q1,E06000004,81.14999999999999
2018,Q1,E06000005,81.39166666666667
2018,Q1,E06000006,71.95
2018,Q1,E06000007,74.26666666666667
2018,Q1,E06000008,77.0
2018,Q1,E06000009,76.39166666666667
2018,Q1,E06000010,80.675
2018,Q1,E06000011,78.97500000000001
2018,Q1,E06000012,78.70833333333333
2018,Q1,E06000013,77.51666666666667
2018,Q1,E06000014,78.79166666666667
2018,Q1,E06000015,76.40833333333333
2018,Q1,E06000016,71.89999999999999
2018,Q1,E06000017,80.31666666666666
2018,Q1,E06000018,71.34166666666667
2018,Q1,E06000020,72.25
2018,Q1,E06000021,76.46666666666667
2018,Q1,E06000022,81.10833333333333
2018,Q1,E06000023,78.925
2018,Q1,E06000024,79.30833333333334
2018,Q1,E06000025,79.10000000000001
2018,Q1,E06000026,78.0
2018,Q1,E06000027,74.04166666666667
2018,Q1,E06000030,82.175
2018,Q1,E06000031,78.0
2018,Q1,E06000032,85.63333333333333
2018,Q1,E06000033,83.125
2018,Q1,E06000034,82.11666666666666
2018,Q1,E06000035,81.04166666666667
2018,Q1,E06000036,88.08333333333333
2018,Q1,E06000037,85.25
2018,Q1,E06000038,87.50833333333333
2018,Q1,E06000039,91.80833333333334
2018,Q1,E06000040,87.70833333333333
2018,Q1,E06000041,85.575
2018,Q1,E06000042,83.75833333333333
2018,Q1,E06000043,79.97500000000001
2018,Q1,E06000044,80.98333333333333
2018,Q1,E06000045,82.85000000000001
2018,Q1,E06000046,72.43333333333334
2018,Q1,E06000047,77.325
2018,Q1,E06000049,78.04166666666667
2018,Q1,E06000050,75.2
2018,Q1,E06000051,76.95
2018,Q1,E06000052,74.075
2018,Q1,E06000054,83.38333333333334
2018,Q1,E06000055,85.13333333333334
2018,Q1,E06000056,87.04166666666667
2018,Q1,E06000057,79.90833333333333
2018,Q1,E06000058,80.925
2018,Q1,E06000059,80.8
2018,Q1,E06000060,89.25833333333333
2018,Q1,E06000061,78.5
2018,Q1,E06000062,83.21666666666667
2018,Q1,E06000063,83.35000000000001
2018,Q1,E06000064,82.58333333333333
2018,Q1,E06000065,80.5
2018,Q1,E06000066,78.30833333333334
2018,Q1,E07000008,91.56666666666666
2018,Q1,E07000009,87.14999999999999
2018,Q1,E07000010,77.98333333333333
2018,Q1,E07000011,83.20833333333333
2018,Q1,E07000012,89.70833333333333
2018,Q1,E07000032,73.85833333333333
2018,Q1,E07000033,71.27499999999999
2018,Q1,E07000034,79.00833333333334
2018,Q1,E07000035,75.43333333333334
2018,Q1,E07000036,74.95833333333333
2018,Q1,E07000037,73.425
2018,Q1,E07000038,75.94166666666666
2018,Q1,E07000039,79.325
2018,Q1,E07000040,82.79166666666667
2018,Q1,E07000041,78.825
2018,Q1,E07000042,76.125
2018,Q1,E07000043,74.05833333333334
2018,Q1,E07000044,77.71666666666667
2018,Q1,E07000045,77.13333333333334
2018,Q1,E07000046,69.94166666666666
2018,Q1,E07000047,78.78333333333333
2018,Q1,E07000061,75.71666666666667
2018,Q1,E07000062,75.14999999999999
2018,Q1,E07000063,82.52499999999999
2018,Q1,E07000064,76.55833333333334
2018,Q1,E07000065,82.05833333333334
2018,Q1,E07000066,82.10000000000001
2018,Q1,E07000067,86.68333333333334
2018,Q1,E07000068,90.825
2018,Q1,E07000069,80.83333333333333
2018,Q1,E07000070,84.20833333333333
2018,Q1,E07000071,83.45833333333333
2018,Q1,E07000072,88.59166666666665
2018,Q1,E07000073,85.99166666666667
2018,Q1,E07000074,83.70833333333333
2018,Q1,E07000075,84.15833333333333
2018,Q1,E07000076,80.27499999999999
2018,Q1,E07000077,87.74166666666667
2018,Q1,E07000078,80.38333333333334
2018,Q1,E07000079,72.8
2018,Q1,E07000080,76.84166666666667
2018,Q1,E07000081,76.85833333333333
2018,Q1,E07000082,83.95833333333333
2018,Q1,E07000083,80.19166666666666
2018,Q1,E07000084,85.80833333333334
