year,quarter,lad_code,hpi
2018,Q1,E06000001,75.5
2018,Q1,E06000002,76.96666666666665
2018,Q1,E06000003,76.63333333333334
2018,Q1,E06000004,80.26666666666667
2018,Q1,E06000005,79.8
2018,Q1,E06000006,71.89999999999999
2018,Q1,E06000007,72.96666666666667
2018,Q1,E06000008,76.7
2018,Q1,E06000009,77.3
2018,Q1,E06000010,79.0
2018,Q1,E06000011,77.83333333333333
2018,Q1,E06000012,77.03333333333333
2018,Q1,E06000013,74.43333333333334
2018,Q1,E06000014,76.5
2018,Q1,E06000015,75.0
2018,Q1,E06000016,70.39999999999999
2018,Q1,E06000017,78.56666666666666
2018,Q1,E06000018,69.66666666666667
2018,Q1,E06000020,69.93333333333334
2018,Q1,E06000021,75.13333333333334
2018,Q1,E06000022,80.66666666666667
2018,Q1,E06000023,78.33333333333333
2018,Q1,E06000024,78.43333333333334
2018,Q1,E06000025,77.39999999999999
2018,Q1,E06000026,76.96666666666665
2018,Q1,E06000027,73.96666666666667
2018,Q1,E06000030,82.10000000000001
2018,Q1,E06000031,76.76666666666667
2018,Q1,E06000032,86.39999999999999
2018,Q1,E06000033,82.7
2018,Q1,E06000034,81.5
2018,Q1,E06000035,80.0
2018,Q1,E06000036,88.39999999999999
2018,Q1,E06000037,84.60000000000001
2018,Q1,E06000038,87.53333333333335
2018,Q1,E06000039,91.33333333333333
2018,Q1,E06000040,86.7
2018,Q1,E06000041,86.2
2018,Q1,E06000042,83.6
2018,Q1,E06000043,79.0
2018,Q1,E06000044,80.10000000000001
2018,Q1,E06000045,82.5
2018,Q1,E06000046,71.2
2018,Q1,E06000047,75.76666666666667
2018,Q1,E06000049,76.53333333333335
2018,Q1,E06000050,73.63333333333334
2018,Q1,E06000051,75.76666666666667
2018,Q1,E06000052,73.46666666666665
2018,Q1,E06000054,82.23333333333333
2018,Q1,E06000055,83.86666666666667
2018,Q1,E06000056,87.13333333333333
2018,Q1,E06000057,78.83333333333333
2018,Q1,E06000058,79.10000000000001
2018,Q1,E06000059,80.7
2018,Q1,E06000060,89.43333333333334
2018,Q1,E06000061,77.26666666666667
2018,Q1,E06000062,82.0
2018,Q1,E06000063,82.10000000000001
2018,Q1,E06000064,81.63333333333334
2018,Q1,E06000065,80.13333333333333
2018,Q1,E06000066,77.2
2018,Q1,E07000008,89.93333333333334
2018,Q1,E07000009,86.06666666666666
2018,Q1,E07000010,76.76666666666667
2018,Q1,E07000011,81.36666666666666
2018,Q1,E07000012,90.46666666666665
2018,Q1,E07000032,72.26666666666667
2018,Q1,E07000033,70.5
2018,Q1,E07000034,76.10000000000001
2018,Q1,E07000035,72.7
2018,Q1,E07000036,73.7
2018,Q1,E07000037,70.8
2018,Q1,E07000038,74.03333333333333
2018,Q1,E07000039,77.83333333333333
2018,Q1,E07000040,82.0
2018,Q1,E07000041,78.0
2018,Q1,E07000042,75.46666666666667
2018,Q1,E07000043,73.43333333333334
2018,Q1,E07000044,77.60000000000001
2018,Q1,E07000045,74.56666666666666
2018,Q1,E07000046,70.46666666666667
2018,Q1,E07000047,79.23333333333333
2018,Q1,E07000061,75.16666666666667
2018,Q1,E07000062,73.93333333333334
2018,Q1,E07000063,80.56666666666666
2018,Q1,E07000064,74.13333333333333
2018,Q1,E07000065,80.8
2018,Q1,E07000066,80.89999999999999
2018,Q1,E07000067,86.66666666666667
2018,Q1,E07000068,90.2
2018,Q1,E07000069,79.3
2018,Q1,E07000070,84.3
2018,Q1,E07000071,83.2
2018,Q1,E07000072,88.96666666666665
2018,Q1,E07000073,85.83333333333333
2018,Q1,E07000074,84.2
2018,Q1,E07000075,81.93333333333334
2018,Q1,E07000076,79.86666666666667
2018,Q1,E07000077,85.83333333333333
2018,Q1,E07000078,77.63333333333334
2018,Q1,E07000079,72.86666666666666
2018,Q1,E07000080,74.66666666666667
2018,Q1,E07000081,74.93333333333334
2018,Q1,E07000082,84.0
2018,Q1,E07000083,78.39999999999999
2018,Q1,E07000084,85.93333333333334
2018,Q1,E07000085,83.5
2018,Q1,E07000086,82.83333333333333
2018,Q1,E07000087,78.89999999999999
2018,Q1,E07000088,79.26666666666667
2018,Q1,E07000089,85.46666666666665
2018,Q1,E07000090,79.5
2018,Q1,E07000091,82.56666666666666
2018,Q1,E07000092,86.43333333333334
2018,Q1,E07000093,80.8
2018,Q1,E07000094,88.60000000000001
2018,Q1,E07000095,88.06666666666666
2018,Q1,E07000096,85.5
2018,Q1,E07000098,89.36666666666667
2018,Q1,E07000099,90.90000000000002
2018,Q1,E07000102,93.06666666666666
2018,Q1,E07000103,87.96666666666665
2018,Q1,E07000105,81.3
2018,Q1,E07000106,83.73333333333333
2018,Q1,E07000107,87.5
2018,Q1,E07000108,79.96666666666667
2018,Q1,E07000109,81.53333333333333
2018,Q1,E07000110,87.53333333333335
2018,Q1,E07000111,84.06666666666666
2018,Q1,E07000113,79.63333333333333
2018,Q1,E07000114,73.7
2018,Q1,E07000115,81.86666666666667
2018,Q1,E07000116,83.7
2018,Q1,E07000117,66.73333333333333
2018,Q1,E07000118,74.63333333333334
2018,Q1,E07000119,76.33333333333333
2018,Q1,E07000120,71.39999999999999
2018,Q1,E07000121,74.7
2018,Q1,E07000122,68.46666666666667
2018,Q1,E07000123,81.10000000000001
2018,Q1,E07000124,83.16666666666667
2018,Q1,E07000125,64.66666666666667
2018,Q1,E07000126,79.53333333333333
2018,Q1,E07000127,80.96666666666667
2018,Q1,E07000128,78.03333333333333
2018,Q1,E07000129,75.73333333333333
2018,Q1,E07000130,73.7
2018,Q1,E07000131,79.26666666666667
2018,Q1,E07000132,73.56666666666666
2018,Q1,E07000133,79.53333333333333
2018,Q1,E07000134,77.3
2018,Q1,E07000135,76.16666666666667
2018,Q1,E07000136,78.43333333333334
2018,Q1,E07000137,73.03333333333333
2018,Q1,E07000138,79.76666666666667
2018,Q1,E07000139,75.10000000000001
2018,Q1,E07000140,76.56666666666666
2018,Q1,E07000141,77.73333333333333
2018,Q1,E07000142,75.26666666666667
2018,Q1,E07000143,79.2
2018,Q1,E07000144,78.0
2018,Q1,E07000145,73.96666666666667
2018,Q1,E07000146,74.8
2018,Q1,E07000147,78.73333333333333
2018,Q1,E07000148,78.8
2018,Q1,E07000149,76.56666666666666
2018,Q1,E07000170,70.6
