w_xgb,w_lag1,valid_MAE,valid_RMSE
0.0,1.0,38.22241681260946,65.2335558789298
0.01,0.99,38.14761767296487,65.1356797703759
0.02,0.98,38.0730941709565,65.03905255612192
0.03,0.97,37.999577563030186,64.94367981071413
0.04,0.96,37.92646535549383,64.84956706890695
0.05,0.95,37.85367090935881,64.75671982429544
0.06,0.94,37.78196020371271,64.66514352794302
0.07,0.9299999999999999,37.71243988681591,64.57484358700513
0.08,0.92,37.644049560139756,64.4858253633496
0.09,0.91,37.57623201295963,64.39809417217408
0.1,0.9,37.50890928079383,64.3116552806217
0.11,0.89,37.441586548628024,64.2265139063951
0.12,0.88,37.374754790200264,64.14267521637015
0.13,0.87,37.308480185048396,64.06014432520945
0.14,0.86,37.243816948106144,63.97892629397682
0.15,0.85,37.17959989250292,63.89902612875336
0.16,0.84,37.115636529027995,63.820448779255926
0.17,0.83,37.05182615885232,63.74319913745848
0.18,0.8200000000000001,36.98810092275963,63.66728203621765
0.19,0.81,36.92463012143658,63.59270224790271
0.2,0.8,36.86139711008436,63.51946448303129
0.21,0.79,36.79921742288315,63.447573388911195
0.22,0.78,36.737826976040765,63.37703354828944
0.23,0.77,36.676923966426244,63.307849478009224
0.24,0.76,36.61771194439081,63.240025627675685
0.25,0.75,36.55956225262838,63.17356637833118
0.26,0.74,36.501594480036495,63.108476041141174
0.27,0.73,36.443857789956844,63.04475885609127
0.28,0.72,36.386172121507954,62.98241899069646
0.29,0.71,36.328834198848355,62.92146053872335
0.3,0.7,36.27398706699322,62.86188751892623
0.31,0.69,36.22164659315782,62.80370387379779
0.32,0.6799999999999999,36.171177597903004,62.746913468335364
0.33,0.6699999999999999,36.12114978671923,62.6915200888237
0.34,0.6599999999999999,36.0714858437622,62.63752744163469
0.35000000000000003,0.6499999999999999,36.02292886280711,62.584939152045415
0.36,0.64,35.97620670804374,62.533758763074935
0.37,0.63,35.93048580777512,62.48398973434083
0.38,0.62,35.88578720329271,62.43563544093632
0.39,0.61,35.84241679913854,62.388699172328735
0.4,0.6,35.8018971209568,62.34318413128011
0.41000000000000003,0.59,35.762682549990565,62.299093432790784
0.42,0.5800000000000001,35.72419896446577,62.256430103066705
0.43,0.5700000000000001,35.686984287154026,62.215197078511274
0.44,0.56,35.65107437025531,62.17539720474251
0.45,0.55,35.61586147362879,62.13703323563607
0.46,0.54,35.581407834274835,62.100107832395224
0.47000000000000003,0.53,35.54711591224536,62.06462356264818
0.48,0.52,35.513460192828276,62.03058289957355
0.49,0.51,35.47997310037734,61.99798822105477
0.5,0.5,35.44764670352637,61.96684180886388
0.51,0.49,35.416319427439284,61.93714584787556
0.52,0.48,35.38519928338536,61.908902425311936
0.53,0.47,35.355678603283096,61.882113530018614
0.54,0.45999999999999996,35.32828847284245,61.85678105177287
0.55,0.44999999999999996,35.301522640455964,61.83290678062415
0.56,0.43999999999999995,35.27588599256776,61.81049240626773
0.5700000000000001,0.42999999999999994,35.251680053114804,61.789539517451814
0.58,0.42000000000000004,35.23036429610849,61.770049601418755
0.59,0.41000000000000003,35.21050182879998,61.75202404338066
0.6,0.4,35.1914761689949,61.73546412602991
0.61,0.39,35.174336848765634,61.720371029085086
0.62,0.38,35.15804946085973,61.70674582887239
0.63,0.37,35.14204638936675,61.69458949794325
0.64,0.36,35.12685268924356,61.68390290472818
0.65,0.35,35.11436013935424,61.67468681322729
0.66,0.33999999999999997,35.10386033171773,61.66694188273768
0.67,0.32999999999999996,35.093360524081234,61.660668667617905
0.68,0.31999999999999995,35.08318174062533,61.655867617089775
0.6900000000000001,0.30999999999999994,35.07363773998666,61.65253907507768
0.7000000000000001,0.29999999999999993,35.06507479083862,61.65068328008533
0.71,0.29000000000000004,35.05842141072265,61.650300365110496
0.72,0.28,35.05438784023563,61.651390357597194
0.73,0.27,35.05112251802326,61.65395317942595
0.74,0.26,35.04869746488584,61.65798864694178
0.75,0.25,35.0469888988909,61.663496471019954
0.76,0.24,35.045679473105565,61.670476257169554
0.77,0.22999999999999998,35.04478268490258,61.67892750567469
0.78,0.21999999999999997,35.04394386573662,61.688849611773186
0.79,0.20999999999999996,35.04333970630727,61.70024186587277
0.8,0.19999999999999996,35.042959821177305,61.713103453804386
0.81,0.18999999999999995,35.04334121761796,61.72743345711259
0.8200000000000001,0.17999999999999994,35.04397810507673,61.743230853382606
0.8300000000000001,0.16999999999999993,35.04619398329369,61.760494516603956
0.84,0.16000000000000003,35.04985445481729,61.779223217570255
0.85,0.15000000000000002,35.054459679980376,61.799415624314854
0.86,0.14,35.06251787018392,61.821070302581994
0.87,0.13,35.072896246352066,61.84418571633307
0.88,0.12,35.08374534496256,61.868760228287584
0.89,0.10999999999999999,35.095215569371554,61.8947921004984
0.9,0.09999999999999998,35.10743704728651,61.92227949496072
0.91,0.08999999999999997,35.12032154549169,61.95122047425445
0.92,0.07999999999999996,35.13339337012282,61.9816130022192
0.93,0.06999999999999995,35.147159600503166,62.01345494466171
0.9400000000000001,0.05999999999999994,35.161383773459875,62.04674407009479
0.9500000000000001,0.04999999999999993,35.1766476189835,62.08147805050741
0.96,0.040000000000000036,35.19297936204887,62.11765446216524
0.97,0.030000000000000027,35.210660170858894,62.155270786441086
0.98,0.020000000000000018,35.22834097966891,62.194324410674426
0.99,0.010000000000000009,35.246495289685626,62.23481262905948
1.0,0.0,35.26499698368409,62.276732643561246
