feature,missing_rate,nunique_train,target_corr,abs_target_corr,spearman_target_corr,abs_spearman_target_corr,univariate_f,univariate_p,group,intended_type,protected_feature,kept_after_correlation_pruning,quick_xgb_gain,quick_xgb_weight,quick_xgb_gain_positive,abs_target_corr_rank_pct,abs_spearman_target_corr_rank_pct,univariate_f_rank_pct,quick_xgb_gain_rank_pct,combined_selection_score,selected_final,selection_mode
quarter_sin,0.0,4,0.07451540126540945,0.07451540126540945,0.08030388645080626,0.08030388645080626,27.532474828101666,1.6094961016127707e-07,time / policy,float32_time,True,True,5.4927167892456055,8.0,True,0.9542097488921714,0.9512555391432792,0.9542097488921714,1.0,4.859675036927622,True,auto_quick_xgb_plus_target_corr
target_log_growth_lag1q,0.07885667950537198,3616,-0.4633188413322695,0.4633188413322695,-0.42826082494638745,0.42826082494638745,1347.84394659494,4.447580826093468e-261,target history,float32_numeric,False,True,4.389858722686768,127.0,True,1.0,1.0,1.0,0.9985228951255539,4.997045790251108,True,auto_quick_xgb_plus_target_corr
quarter_num,0.0,4,-0.18477052767024824,0.18477052767024824,-0.23765699176469654,0.23765699176469654,174.29554495522441,3.909401154796368e-39,time / policy,int16_time,True,True,4.055400848388672,21.0,True,0.9955686853766618,0.9970457902511078,0.9955686853766618,0.9970457902511078,4.982274741506647,True,auto_quick_xgb_plus_target_corr
house_sales_volume_lag8q,0.0512872491384553,1405,0.009476023493886668,0.009476023493886668,0.013372446805290492,0.013372446805290492,0.44281901275941377,0.5057960909665913,house price / housing,float32_numeric,True,True,3.5635645389556885,3.0,True,0.5539143279172821,0.5945347119645494,0.5539143279172821,0.9955686853766618,3.693500738552437,True,auto_quick_xgb_plus_target_corr
log1p_brent_oil_price_lag1q,0.000608149199270221,30,0.05820965746967355,0.05820965746967355,0.06824831244006274,0.06824831244006274,16.764829330180152,4.298756391597199e-05,oil / energy proxy,float32_numeric,True,True,3.1998074054718018,9.0,True,0.9187592319054653,0.9194977843426884,0.9187592319054653,0.9940915805022157,4.74519940915805,True,auto_quick_xgb_plus_target_corr
log1p_house_sales_volume_lag8q,0.0512872491384553,1405,0.01179933943197195,0.01179933943197195,0.013372446805290492,0.013372446805290492,0.6866111638279917,0.40735955209277086,house price / housing,float32_numeric,True,True,2.9744205474853516,5.0,True,0.6174298375184638,0.5945347119645494,0.6174298375184638,0.9926144756277696,3.8146233382570163,True,auto_quick_xgb_plus_target_corr
gbp_index_qoq_pct_lag4q,0.022501520372998175,26,-0.02658186430929057,0.02658186430929057,0.0349871004042231,0.0349871004042231,3.4866861373567617,0.06192359655929279,market / FX,float32_numeric,False,True,2.9091033935546875,1.0,True,0.8020679468242246,0.8005908419497785,0.8020679468242246,0.9911373707533235,4.387001477104874,True,auto_quick_xgb_plus_target_corr
house_sales_volume_lag2q,0.0512872491384553,1385,0.013731029741506607,0.013731029741506607,0.02798043214371946,0.02798043214371946,0.9298718666820209,0.3349435099536563,house price / housing,float32_numeric,True,True,2.7913291454315186,1.0,True,0.6528803545051699,0.7717872968980798,0.6528803545051699,0.9896602658788775,4.056868537666174,True,auto_quick_xgb_plus_target_corr
ftse_100_qoq_pct_lag1q,0.007297790391242651,28,0.13404756268218673,0.13404756268218673,0.099709684071106,0.099709684071106,90.22513441934268,3.224441928477342e-21,market / FX,float32_numeric,False,True,2.771698236465454,20.0,True,0.9852289512555391,0.96602658788774,0.9852289512555391,0.9881831610044313,4.91285081240768,True,auto_quick_xgb_plus_target_corr
homelessness_relief_lag1q,0.000608149199270221,544,-0.03492206456322191,0.03492206456322191,-0.0578942204587847,0.0578942204587847,6.02094682512065,0.014171410851423179,target history,float32_numeric,False,True,2.510425329208374,3.0,True,0.8419497784342689,0.895864106351551,0.8419497784342689,0.9867060561299852,4.553175775480058,True,auto_quick_xgb_plus_target_corr
log1p_homelessness_relief_lag1q,0.000608149199270221,544,-0.057844529998274295,0.057844529998274295,-0.0578942204587847,0.0578942204587847,16.55446603974705,4.8011205661651444e-05,target history,float32_numeric,False,True,2.3845295906066895,41.0,True,0.9158050221565731,0.895864106351551,0.9158050221565731,0.9852289512555391,4.697932053175776,True,auto_quick_xgb_plus_target_corr
annual_rent_to_income_yoy_pct_lag1q,0.24711129130346646,3714,-0.01673775352544881,0.01673775352544881,-0.010324326930741068,0.010324326930741068,1.3818185700501289,0.23984837560385466,rent,float32_numeric,False,True,2.366179943084717,1.0,True,0.7001477104874446,0.5081240768094535,0.7001477104874446,0.983751846381093,3.875923190546529,True,auto_quick_xgb_plus_target_corr
income_qoq_pct_lag4q,0.04317859314818569,1104,0.19983302817284057,0.19983302817284057,0.25488952630911993,0.25488952630911993,205.10115574439533,1.3088118384234246e-45,income / affordability,float32_numeric,False,True,2.354335308074951,9.0,True,0.9985228951255539,0.9985228951255539,0.9985228951255539,0.982274741506647,4.960118168389956,True,auto_quick_xgb_plus_target_corr
annual_rent_to_income_qoq_pct_lag2q,0.1925805797689033,3849,-0.06039776671798891,0.06039776671798891,-0.028415822372910175,0.028415822372910175,18.053604263621622,2.1873312248275405e-05,rent,float32_numeric,False,True,2.3481740951538086,5.0,True,0.9246676514032496,0.7754800590841949,0.9246676514032496,0.9807976366322009,4.5864106351550955,True,auto_quick_xgb_plus_target_corr
internal_net_migration_yoy_pct_lag8q,0.04317859314818569,1426,0.005385975126972501,0.005385975126972501,0.01953539350429085,0.01953539350429085,0.1430461876930754,0.705287555315622,migration,float32_numeric,False,True,2.3285293579101562,35.0,True,0.3870014771048744,0.7031019202363368,0.3870014771048744,0.9793205317577548,3.4357459379615953,True,auto_quick_xgb_plus_target_corr
quarter_cos,0.0,4,0.025221524460999876,0.025221524460999876,0.027716495262934304,0.027716495262934304,3.138730461094683,0.07651504457759488,time / policy,float32_time,True,True,2.214876890182495,1.0,True,0.793205317577548,0.7695716395864106,0.793205317577548,0.9778434268833087,4.311669128508124,True,auto_quick_xgb_plus_target_corr
brent_oil_price_qoq_pct_lag1q,0.007297790391242651,28,0.014566791173128714,0.014566791173128714,-0.02976993542874745,0.02976993542874745,1.046537884801307,0.30635597684359267,oil / energy proxy,float32_numeric,False,True,2.2071831226348877,4.0,True,0.6661742983751846,0.7813884785819794,0.6661742983751846,0.9763663220088626,4.066469719350074,True,auto_quick_xgb_plus_target_corr
ftse_100_yoy_pct_lag1q,0.023109669572268395,25,0.05950433151335819,0.05950433151335819,0.11742885950874896,0.11742885950874896,17.52155424112481,2.8901665056609078e-05,market / FX,float32_numeric,False,True,2.1120216846466064,5.0,True,0.9217134416543574,0.9748892171344166,0.9217134416543574,0.9748892171344166,4.768094534711965,True,auto_quick_xgb_plus_target_corr
gbp_index_yoy_pct_lag2q,0.027772146766673424,25,-0.0353412973577584,0.0353412973577584,-0.014094749445135698,0.014094749445135698,6.166557065805762,0.013051767039165418,market / FX,float32_numeric,False,True,2.0955657958984375,1.0,True,0.844903988183161,0.621861152141802,0.844903988183161,0.9734121122599705,4.258493353028065,True,auto_quick_xgb_plus_target_corr
cpi_00_all_items_qoq_pct_lag1q,0.007297790391242651,27,0.15577234167148069,0.15577234167148069,0.15854047099231403,0.15854047099231403,122.62635690213942,3.6076446462313407e-28,CPI total,float32_numeric,False,True,1.7893357276916504,17.0,True,0.9911373707533235,0.9867060561299852,0.9911373707533235,0.9719350073855244,4.912850812407681,True,auto_quick_xgb_plus_target_corr
log1p_house_sales_volume_lag2q,0.0512872491384553,1385,0.022573092573452636,0.022573092573452636,0.02798043214371946,0.02798043214371946,2.51384488643023,0.11291441958096826,house price / housing,float32_numeric,True,True,1.734896183013916,9.0,True,0.7769571639586411,0.7717872968980798,0.7769571639586411,0.9704579025110783,4.266617429837519,True,auto_quick_xgb_plus_target_corr
