feature,intended_type,actual_pandas_dtype,feature_group,missing_rate_all_rows,nunique_all_rows
log1p_average_house_price_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,6661
log1p_average_house_price_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,6660
log1p_average_house_price_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,6658
log1p_house_price_index_lag1q,float32_numeric,float64,house price / housing,0.038876889848812095,1034
log1p_house_price_index_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,1045
log1p_house_price_index_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,1037
log1p_house_price_index_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,1109
log1p_house_sales_volume_lag1q,float32_numeric,float64,house price / housing,0.038876889848812095,1525
log1p_house_sales_volume_lag2q,float32_numeric,float64,house price / housing,0.038876889848812095,1529
log1p_house_sales_volume_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,1526
log1p_house_sales_volume_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,1575
log1p_unemployment_count_lag1q,float32_numeric,float64,unemployment,0.616414686825054,2303
log1p_unemployment_count_lag2q,float32_numeric,float64,unemployment,0.616414686825054,2307
log1p_unemployment_count_lag4q,float32_numeric,float64,unemployment,0.616414686825054,2285
log1p_unemployment_count_lag8q,float32_numeric,float64,unemployment,0.616414686825054,2257
log1p_private_rental_price_index_lag1q,float32_numeric,float64,rent,0.06882649388048956,6467
log1p_private_rental_price_index_lag2q,float32_numeric,float64,rent,0.06882649388048956,6467
log1p_private_rental_price_index_lag4q,float32_numeric,float64,rent,0.06882649388048956,6467
log1p_private_rental_price_index_lag8q,float32_numeric,float64,rent,0.06882649388048956,6466
log1p_average_private_rental_price_lag1q,float32_numeric,float64,rent,0.06882649388048956,3013
log1p_average_private_rental_price_lag2q,float32_numeric,float64,rent,0.06882649388048956,2973
log1p_average_private_rental_price_lag4q,float32_numeric,float64,rent,0.06882649388048956,2925
log1p_average_private_rental_price_lag8q,float32_numeric,float64,rent,0.06882649388048956,2827
log1p_income_lag1q,float32_numeric,float64,income / affordability,0.4426205903527718,1097
log1p_income_lag2q,float32_numeric,float64,income / affordability,0.40259179265658745,1103
log1p_income_lag4q,float32_numeric,float64,income / affordability,0.320374370050396,1370
log1p_income_lag8q,float32_numeric,float64,income / affordability,0.15593952483801296,1633
log1p_brent_oil_price_lag1q,float32_numeric,float64,oil / energy proxy,0.00043196544276457883,44
log1p_brent_oil_price_lag2q,float32_numeric,float64,oil / energy proxy,0.004751619870410367,43
log1p_brent_oil_price_lag4q,float32_numeric,float64,oil / energy proxy,0.013390928725701945,39
log1p_brent_oil_price_lag8q,float32_numeric,float64,oil / energy proxy,0.025773938084953204,34
log1p_population_lag4q,float32_numeric,float64,population / scale,0.031821454283657305,2011
log1p_cpi_00_all_items_lag1q,float32_numeric,float64,CPI total,0.00043196544276457883,41
log1p_cpi_00_all_items_lag2q,float32_numeric,float64,CPI total,0.004751619870410367,40
log1p_cpi_00_all_items_lag4q,float32_numeric,float64,CPI total,0.013390928725701945,36
log1p_cpi_00_all_items_lag8q,float32_numeric,float64,CPI total,0.025773938084953204,32
log1p_house_price_to_income_lag1q,float32_numeric,float64,house price / housing,0.4479481641468683,3834
log1p_house_price_to_income_lag2q,float32_numeric,float64,house price / housing,0.40791936645068394,4112
log1p_house_price_to_income_lag4q,float32_numeric,float64,house price / housing,0.326133909287257,4680
log1p_house_price_to_income_lag8q,float32_numeric,float64,house price / housing,0.16342692584593232,5810
log1p_annual_rent_to_income_lag1q,float32_numeric,float64,rent,0.4652267818574514,3672
log1p_annual_rent_to_income_lag2q,float32_numeric,float64,rent,0.42649388048956083,3933
log1p_annual_rent_to_income_lag4q,float32_numeric,float64,rent,0.34730021598272137,4473
log1p_annual_rent_to_income_lag8q,float32_numeric,float64,rent,0.1896328293736501,5547
log1p_unemployment_per_1000_lag1q,float32_numeric,float64,unemployment,0.6502519798416126,2426
log1p_unemployment_per_1000_lag2q,float32_numeric,float64,unemployment,0.6332613390928725,2543
log1p_unemployment_per_1000_lag4q,float32_numeric,float64,unemployment,0.6167026637868971,2659
log1p_unemployment_per_1000_lag8q,float32_numeric,float64,unemployment,0.6167026637868971,2657
average_house_price_qoq_pct_lag4q,float32_numeric,float64,house price / housing,0.038876889848812095,6675
average_house_price_qoq_pct_lag8q,float32_numeric,float64,house price / housing,0.038876889848812095,6675
average_house_price_monthly_change_qoq_pct_lag1q,float32_numeric,float64,house price / housing,0.04722822174226062,3412
average_house_price_monthly_change_qoq_pct_lag2q,float32_numeric,float64,house price / housing,0.047372210223182144,3404
average_house_price_monthly_change_qoq_pct_lag4q,float32_numeric,float64,house price / housing,0.0482361411087113,3421
average_house_price_monthly_change_qoq_pct_lag8q,float32_numeric,float64,house price / housing,0.04794816414686825,3386
average_house_price_monthly_change_yoy_pct_lag1q,float32_numeric,float64,house price / housing,0.0482361411087113,3410
average_house_price_monthly_change_yoy_pct_lag2q,float32_numeric,float64,house price / housing,0.047804175665946726,3396
average_house_price_monthly_change_yoy_pct_lag4q,float32_numeric,float64,house price / housing,0.04809215262778978,3392
average_house_price_monthly_change_yoy_pct_lag8q,float32_numeric,float64,house price / housing,0.047804175665946726,3368
average_house_price_annual_change_qoq_pct_lag1q,float32_numeric,float64,house price / housing,0.04017278617710583,5920
average_house_price_annual_change_qoq_pct_lag2q,float32_numeric,float64,house price / housing,0.04017278617710583,5910
average_house_price_annual_change_qoq_pct_lag4q,float32_numeric,float64,house price / housing,0.0400287976961843,5885
average_house_price_annual_change_qoq_pct_lag8q,float32_numeric,float64,house price / housing,0.03988480921526278,5936
average_house_price_annual_change_yoy_pct_lag1q,float32_numeric,float64,house price / housing,0.0400287976961843,6127
average_house_price_annual_change_yoy_pct_lag2q,float32_numeric,float64,house price / housing,0.04017278617710583,6135
average_house_price_annual_change_yoy_pct_lag4q,float32_numeric,float64,house price / housing,0.04017278617710583,6150
average_house_price_annual_change_yoy_pct_lag8q,float32_numeric,float64,house price / housing,0.03988480921526278,6191
